email,first_name,last_name,company,title,source,is_dm,hunter_confidence,signal_tag,registered_date,collected_date,domain,website,mx_pass,reject_reason,verification_score,domain_age_days,smtp_ok,catch_all,smtp_status,smtp_attempted
lisa.wang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
lisawang@pacificnorthwestelectric.com,Lisa,Wang,Pacific Northwest Electric Inc,Secretary,officer_permutation,,,new_business,2024-09-20,2026-03-11,pacificnorthwestelectric.com,https://pacificnorthwestelectric.com,TRUE,,PASS,6964,,,not_attempted,FALSE
robert@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
robert.torres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
roberttorres@cascadebuilding.com,Robert,Torres,Cascade Building Services LLC,Manager,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
maria@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
maria.torres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
mariatorres@cascadebuilding.com,Maria,Torres,Cascade Building Services LLC,Member,officer_permutation,,,new_business;formation_with_employees;website_refresh,2024-11-01,2026-03-11,cascadebuilding.com,https://cascadebuilding.com,TRUE,,PASS,3030,,,not_attempted,FALSE
david@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
david.kim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
davidkim@soundstaffing.com,David,Kim,Sound Transit Staffing Group LLC,Managing Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
jennifer@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
jennifer.kim@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
jenniferkim@soundstaffing.com,Jennifer,Kim,Sound Transit Staffing Group LLC,Member,officer_permutation,,,new_business;website_refresh,2025-03-01,2026-03-11,soundstaffing.com,https://soundstaffing.com,TRUE,,PASS,10019,,,not_attempted,FALSE
james@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
james.wilson@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
jameswilson@pugetsoundplumbing.com,James,Wilson,Puget Sound Plumbing Co,President,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
amy@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
amy.wilson@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
amywilson@pugetsoundplumbing.com,Amy,Wilson,Puget Sound Plumbing Co,VP Operations,officer_permutation,,,new_business;active_hiring;website_refresh,2024-06-10,2026-03-11,pugetsoundplumbing.com,https://pugetsoundplumbing.com,TRUE,,PASS,6320,,,not_attempted,FALSE
